2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26272, Remote Address: 13.107.246.59:443, State: ESTABLISHED, Process ID: 3564, Process Name: msedge, Process Start Time: 2024-11-22 19:56:02
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26273, Remote Address: 64.233.170.95:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26280, Remote Address: 199.232.46.172:80, State: ESTABLISHED, Process ID: 1812, Process Name: svchost, Process Start Time: 2024-11-22 19:57:02
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26281, Remote Address: 52.113.194.132:443, State: ESTABLISHED, Process ID: 11344, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26282, Remote Address: 52.113.194.132:443, State: ESTABLISHED, Process ID: 11344, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26283, Remote Address: 20.189.173.2:443, State: ESTABLISHED, Process ID: 26456, Process Name: ms-teams, Process Start Time: 2024-11-22 13:18:31
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26284, Remote Address: 20.42.73.26:443, State: ESTABLISHED, Process ID: 23068, Process Name: ms-teams, Process Start Time: 2024-11-22 13:17:56
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26285, Remote Address: 35.186.224.24:443, State: ESTABLISHED, Process ID: 21416, Process Name: Spotify, Process Start Time: 2024-11-22 18:56:48
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26286, Remote Address: 20.189.173.23:443, State: ESTABLISHED, Process ID: 5132, Process Name: svchost, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26289, Remote Address: 172.217.194.17:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26290, Remote Address: 52.98.65.2:443, State: ESTABLISHED, Process ID: 4524, Process Name: SearchHost, Process Start Time: 2024-11-22 13:16:58
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26291, Remote Address: 13.107.6.158:443, State: ESTABLISHED, Process ID: 24596, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:00
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26292, Remote Address: 142.251.10.94:80, State: ESTABLISHED, Process ID: 5192, Process Name: svchost, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26293, Remote Address: 23.195.121.29:80, State: ESTABLISHED, Process ID: 5192, Process Name: svchost, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26295, Remote Address: 23.75.23.67:80, State: ESTABLISHED, Process ID: 5192, Process Name: svchost, Process Start Time: 2024-11-15 12:08:58
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26296, Remote Address: 13.107.18.254:443, State: ESTABLISHED, Process ID: 24596, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:00
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26297, Remote Address: 13.107.3.254:443, State: ESTABLISHED, Process ID: 24596, Process Name: msedgewebview2, Process Start Time: 2024-11-22 13:17:00
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26298, Remote Address: 192.168.66.28:53, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26299, Remote Address: 192.168.66.28:53, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26300, Remote Address: 192.168.66.28:53, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26301, Remote Address: 192.168.66.28:53, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26302, Remote Address: 20.205.243.168:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26303, Remote Address: 140.82.114.21:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26304, Remote Address: 140.82.114.21:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26305, Remote Address: 192.168.66.28:53, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26306, Remote Address: 192.168.66.28:53, State: TIME_WAIT, Process ID: 0, Process Name: Idle, Process Start Time: N/A
2024-11-22 19:58:23 - Protocol: TCP, Local Address: 192.168.66.54:26307, Remote Address: 142.251.12.94:443, State: ESTABLISHED, Process ID: 24124, Process Name: chrome, Process Start Time: 2024-11-22 13:18:45
